"timstamp","fx_rate","timestamp for entry"
"1636747104000","0.69619","2021-11-12"
"1636747114000","0.696156","2021-11-12"
"1636747125000","0.696229","2021-11-12"
"1636747136000","0.696233","2021-11-12"
"1636747146000","0.69618","2021-11-12"
"1636747157000","0.696185","2021-11-12"
"1636747168000","0.696127","2021-11-12"
"1636747179000","0.696122","2021-11-12"
"1636747190000","0.696151","2021-11-12"
"1636747200000","0.696122","2021-11-12"
"1636747211000","0.696229","2021-11-12"
"1636747222000","0.69633","2021-11-12"
"1636747232000","0.696233","2021-11-12"
"1636747243000","0.69618","2021-11-12"
"1636747254000","0.696427","2021-11-12"
"1636747264000","0.696272","2021-11-12"
"1636747275000","0.696325","2021-11-12"
"1636747286000","0.696248","2021-11-12"
"1636747292000","0.696335","2021-11-12"
"1636747307000","0.696282","2021-11-12"
"1636747318000","0.696258","2021-11-12"
"1636747328000","0.696233","2021-11-12"
"1636747339000","0.696316","2021-11-12"
"1636747350000","0.696287","2021-11-12"
"1636747361000","0.696321","2021-11-12"
"1636747372000","0.696481","2021-11-12"
"1636747381000","0.696272","2021-11-12"
"1636747392000","0.696325","2021-11-12"
"1636747402000","0.696476","2021-11-12"
"1636747412000","0.696277","2021-11-12"
"1636747424000","0.696321","2021-11-12"
"1636747435000","0.696282","2021-11-12"
"1636747445000","0.696282","2021-11-12"
"1636747454000","0.696335","2021-11-12"
"1636747468000","0.696325","2021-11-12"
"1636747470000","0.696282","2021-11-12"
"1636747488000","0.696418","2021-11-12"
"1636747500000","0.69635","2021-11-12"
"1636747511000","0.696311","2021-11-12"
"1636747521000","0.696325","2021-11-12"
"1636747531000","0.696389","2021-11-12"
"1636747543000","0.696335","2021-11-12"
"1636747553000","0.696301","2021-11-12"
"1636747561000","0.69633","2021-11-12"
"1636747575000","0.696316","2021-11-12"
"1636747586000","0.69635","2021-11-12"
"1636747595000","0.696292","2021-11-12"
"1636747606000","0.696296","2021-11-12"
"1636747616000","0.696325","2021-11-12"
"1636747622000","0.696277","2021-11-12"
"1636747638000","0.696311","2021-11-12"
"1636747648000","0.696311","2021-11-12"
"1636747660000","0.696325","2021-11-12"
"1636747670000","0.69634","2021-11-12"
"1636747681000","0.69635","2021-11-12"
"1636747692000","0.696408","2021-11-12"
"1636747703000","0.696369","2021-11-12"
"1636747711000","0.696384","2021-11-12"
"1636747724000","0.696389","2021-11-12"
"1636747735000","0.696384","2021-11-12"
"1636747745000","0.696369","2021-11-12"
"1636747756000","0.696374","2021-11-12"
"1636747767000","0.696422","2021-11-12"
"1636747778000","0.696389","2021-11-12"
"1636747787000","0.696393","2021-11-12"
"1636747798000","0.696389","2021-11-12"
