"timstamp","fx_rate","timestamp for entry"
"1636591301000","1.148356","2021-11-11"
"1636591311000","1.148501","2021-11-11"
"1636591316000","1.148369","2021-11-11"
"1636591326000","1.148356","2021-11-11"
"1636591336000","1.148396","2021-11-11"
"1636591351000","1.148396","2021-11-11"
"1636591363000","1.148462","2021-11-11"
"1636591367000","1.148462","2021-11-11"
"1636591382000","1.148462","2021-11-11"
"1636591391000","1.148422","2021-11-11"
"1636591403000","1.148448","2021-11-11"
"1636591413000","1.148435","2021-11-11"
"1636591420000","1.148396","2021-11-11"
"1636591434000","1.14833","2021-11-11"
"1636591442000","1.14833","2021-11-11"
"1636591442000","1.14833","2021-11-11"
"1636591442000","1.14833","2021-11-11"
"1636591473000","1.148356","2021-11-11"
"1636591473000","1.148356","2021-11-11"
"1636591488000","1.148356","2021-11-11"
"1636591502000","1.148356","2021-11-11"
"1636591502000","1.148356","2021-11-11"
"1636591502000","1.148356","2021-11-11"
"1636591536000","1.14833","2021-11-11"
"1636591547000","1.14833","2021-11-11"
"1636591557000","1.14833","2021-11-11"
"1636591566000","1.148422","2021-11-11"
"1636591578000","1.148448","2021-11-11"
"1636591588000","1.148448","2021-11-11"
"1636591593000","1.148765","2021-11-11"
"1636591608000","1.148765","2021-11-11"
"1636591614000","1.148435","2021-11-11"
"1636591627000","1.148475","2021-11-11"
"1636591637000","1.148462","2021-11-11"
"1636591649000","1.148462","2021-11-11"
"1636591657000","1.148448","2021-11-11"
"1636591670000","1.148462","2021-11-11"
"1636591670000","1.148462","2021-11-11"
"1636591691000","1.148633","2021-11-11"
"1636591701000","1.148765","2021-11-11"
"1636591708000","1.148501","2021-11-11"
"1636591714000","1.148514","2021-11-11"
"1636591727000","1.148501","2021-11-11"
"1636591741000","1.148633","2021-11-11"
"1636591750000","1.148554","2021-11-11"
"1636591758000","1.148567","2021-11-11"
"1636591773000","1.148554","2021-11-11"
"1636591777000","1.148554","2021-11-11"
"1636591788000","1.148567","2021-11-11"
"1636591788000","1.148567","2021-11-11"
"1636591814000","1.14858","2021-11-11"
"1636591823000","1.14858","2021-11-11"
"1636591831000","1.148567","2021-11-11"
"1636591841000","1.148567","2021-11-11"
"1636591855000","1.148554","2021-11-11"
"1636591866000","1.148567","2021-11-11"
"1636591874000","1.148514","2021-11-11"
"1636591885000","1.148554","2021-11-11"
"1636591894000","1.148541","2021-11-11"
"1636591906000","1.148501","2021-11-11"
"1636591917000","1.148488","2021-11-11"
"1636591917000","1.148488","2021-11-11"
"1636591917000","1.148488","2021-11-11"
"1636591938000","1.148765","2021-11-11"
"1636591953000","1.148501","2021-11-11"
"1636591960000","1.148514","2021-11-11"
"1636591975000","1.148488","2021-11-11"
"1636591989000","1.148396","2021-11-11"
"1636591999000","1.148356","2021-11-11"
"1636592008000","1.14833","2021-11-11"
"1636592019000","1.148237","2021-11-11"
"1636592028000","1.148501","2021-11-11"
"1636592040000","1.148264","2021-11-11"
"1636592049000","1.148237","2021-11-11"
"1636592060000","1.148264","2021-11-11"
"1636592069000","1.148264","2021-11-11"
"1636592079000","1.148317","2021-11-11"
"1636592091000","1.148264","2021-11-11"
"1636592101000","1.148158","2021-11-11"
"1636592112000","1.148145","2021-11-11"
"1636592121000","1.148172","2021-11-11"
"1636592132000","1.148211","2021-11-11"
"1636592142000","1.148317","2021-11-11"
"1636592149000","1.148237","2021-11-11"
"1636592163000","1.148277","2021-11-11"
"1636592173000","1.148264","2021-11-11"
"1636592182000","1.148251","2021-11-11"
"1636592191000","1.148185","2021-11-11"
"1636592194000","1.148251","2021-11-11"
"1636592211000","1.148211","2021-11-11"
"1636592224000","1.148211","2021-11-11"
"1636592234000","1.148369","2021-11-11"
"1636592244000","1.148501","2021-11-11"
"1636592254000","1.148501","2021-11-11"
"1636592264000","1.148369","2021-11-11"
"1636592276000","1.148092","2021-11-11"
"1636592284000","1.148092","2021-11-11"
"1636592294000","1.148369","2021-11-11"
"1636592299000","1.148066","2021-11-11"
