"timstamp","fx_rate","timestamp for entry"
"1636747103000","1.0538","2021-11-12"
"1636747113000","1.05391","2021-11-12"
"1636747125000","1.05397","2021-11-12"
"1636747136000","1.05396","2021-11-12"
"1636747147000","1.05379","2021-11-12"
"1636747157000","1.0538","2021-11-12"
"1636747168000","1.05381","2021-11-12"
"1636747179000","1.05376","2021-11-12"
"1636747189000","1.05365","2021-11-12"
"1636747200000","1.05362","2021-11-12"
"1636747210000","1.05377","2021-11-12"
"1636747221000","1.0535","2021-11-12"
"1636747232000","1.05377","2021-11-12"
"1636747243000","1.0536","2021-11-12"
"1636747254000","1.0538","2021-11-12"
"1636747264000","1.05398","2021-11-12"
"1636747275000","1.0539","2021-11-12"
"1636747286000","1.0537","2021-11-12"
"1636747296000","1.0538","2021-11-12"
"1636747306000","1.054","2021-11-12"
"1636747318000","1.05392","2021-11-12"
"1636747328000","1.05399","2021-11-12"
"1636747339000","1.0539","2021-11-12"
"1636747350000","1.05396","2021-11-12"
"1636747360000","1.0539","2021-11-12"
"1636747371000","1.0537","2021-11-12"
"1636747381000","1.05397","2021-11-12"
"1636747392000","1.05396","2021-11-12"
"1636747399000","1.05396","2021-11-12"
"1636747411000","1.05396","2021-11-12"
"1636747424000","1.054","2021-11-12"
"1636747434000","1.0539","2021-11-12"
"1636747446000","1.05394","2021-11-12"
"1636747457000","1.0536","2021-11-12"
"1636747468000","1.0537","2021-11-12"
"1636747478000","1.0538","2021-11-12"
"1636747488000","1.0538","2021-11-12"
"1636747500000","1.05384","2021-11-12"
"1636747510000","1.05394","2021-11-12"
"1636747521000","1.05385","2021-11-12"
"1636747532000","1.0539","2021-11-12"
"1636747542000","1.05384","2021-11-12"
"1636747553000","1.05391","2021-11-12"
"1636747561000","1.05383","2021-11-12"
"1636747575000","1.05382","2021-11-12"
"1636747585000","1.05382","2021-11-12"
"1636747591000","1.05383","2021-11-12"
"1636747606000","1.05389","2021-11-12"
"1636747616000","1.054","2021-11-12"
"1636747626000","1.0537","2021-11-12"
"1636747638000","1.05385","2021-11-12"
"1636747648000","1.05385","2021-11-12"
"1636747660000","1.05393","2021-11-12"
"1636747671000","1.0541","2021-11-12"
"1636747681000","1.05384","2021-11-12"
"1636747692000","1.0539","2021-11-12"
"1636747697000","1.054","2021-11-12"
"1636747713000","1.0536","2021-11-12"
"1636747722000","1.0539","2021-11-12"
"1636747732000","1.0538","2021-11-12"
"1636747744000","1.05393","2021-11-12"
"1636747756000","1.054","2021-11-12"
"1636747767000","1.0539","2021-11-12"
"1636747776000","1.0539","2021-11-12"
"1636747789000","1.05385","2021-11-12"
"1636747798000","1.0539","2021-11-12"
"1636747804000","1.0537","2021-11-12"
"1636747820000","1.0538","2021-11-12"
"1636747831000","1.0539","2021-11-12"
"1636747842000","1.05389","2021-11-12"
"1636747851000","1.05399","2021-11-12"
"1636747863000","1.05397","2021-11-12"
"1636747874000","1.05397","2021-11-12"
"1636747885000","1.0539","2021-11-12"
"1636747896000","1.05398","2021-11-12"
"1636747906000","1.05397","2021-11-12"
"1636747916000","1.05397","2021-11-12"
"1636747926000","1.05397","2021-11-12"
"1636747937000","1.0539","2021-11-12"
"1636747947000","1.05396","2021-11-12"
"1636747959000","1.0538","2021-11-12"
"1636747970000","1.0538","2021-11-12"
"1636747980000","1.05392","2021-11-12"
"1636747990000","1.05392","2021-11-12"
"1636748002000","1.05384","2021-11-12"
"1636748013000","1.054","2021-11-12"
"1636748022000","1.054","2021-11-12"
"1636748034000","1.0539","2021-11-12"
"1636748045000","1.0538","2021-11-12"
"1636748055000","1.05386","2021-11-12"
"1636748063000","1.0539","2021-11-12"
"1636748073000","1.05394","2021-11-12"
"1636748087000","1.05386","2021-11-12"
"1636748098000","1.0539","2021-11-12"
"1636748109000","1.05386","2021-11-12"
"1636748119000","1.05393","2021-11-12"
"1636748128000","1.054","2021-11-12"
"1636748141000","1.0539","2021-11-12"
"1636748152000","1.05386","2021-11-12"
"1636748160000","1.0538","2021-11-12"
"1636748174000","1.05391","2021-11-12"
"1636748183000","1.0538","2021-11-12"
"1636748194000","1.05396","2021-11-12"
"1636748205000","1.0538","2021-11-12"
"1636748216000","1.05399","2021-11-12"
"1636748223000","1.0539","2021-11-12"
"1636748236000","1.0539","2021-11-12"
"1636748248000","1.05389","2021-11-12"
"1636748258000","1.05386","2021-11-12"
"1636748270000","1.0538","2021-11-12"
"1636748280000","1.0539","2021-11-12"
"1636748290000","1.05386","2021-11-12"
"1636748301000","1.05386","2021-11-12"
"1636748313000","1.0537","2021-11-12"
"1636748323000","1.0538","2021-11-12"
"1636748333000","1.05395","2021-11-12"
"1636748344000","1.0536","2021-11-12"
"1636748355000","1.0539","2021-11-12"
"1636748365000","1.054","2021-11-12"
"1636748375000","1.054","2021-11-12"
"1636748387000","1.0539","2021-11-12"
"1636748395000","1.05401","2021-11-12"
"1636748406000","1.05397","2021-11-12"
"1636748416000","1.054","2021-11-12"
"1636748430000","1.054","2021-11-12"
"1636748441000","1.0539","2021-11-12"
"1636748451000","1.05399","2021-11-12"
"1636748461000","1.05401","2021-11-12"
"1636748469000","1.054","2021-11-12"
"1636748482000","1.05393","2021-11-12"
"1636748492000","1.05401","2021-11-12"
"1636748501000","1.05397","2021-11-12"
"1636748515000","1.05404","2021-11-12"
"1636748522000","1.0538","2021-11-12"
"1636748536000","1.05401","2021-11-12"
"1636748544000","1.0538","2021-11-12"
"1636748557000","1.05395","2021-11-12"
"1636748569000","1.0538","2021-11-12"
"1636748580000","1.05401","2021-11-12"
"1636748588000","1.05395","2021-11-12"
"1636748601000","1.0539","2021-11-12"
"1636748609000","1.05403","2021-11-12"
"1636748621000","1.05395","2021-11-12"
"1636748633000","1.05394","2021-11-12"
"1636748644000","1.05394","2021-11-12"
"1636748655000","1.05403","2021-11-12"
"1636748666000","1.0539","2021-11-12"
"1636748675000","1.05396","2021-11-12"
"1636748686000","1.0539","2021-11-12"
"1636748696000","1.0539","2021-11-12"
"1636748707000","1.05395","2021-11-12"
"1636748716000","1.054","2021-11-12"
"1636748730000","1.05394","2021-11-12"
"1636748740000","1.05396","2021-11-12"
"1636748751000","1.054","2021-11-12"
