"timstamp","fx_rate","timestamp for entry"
"1636681626000","1.084152","2021-11-12"
"1636681640000","1.084152","2021-11-12"
"1636681647000","1.084152","2021-11-12"
"1636681664000","1.084164","2021-11-12"
"1636681680000","1.084175","2021-11-12"
"1636681694000","1.08414","2021-11-12"
"1636681704000","1.084117","2021-11-12"
"1636681719000","1.084164","2021-11-12"
"1636681733000","1.084269","2021-11-12"
"1636681746000","1.084117","2021-11-12"
"1636681760000","1.084117","2021-11-12"
"1636681770000","1.084117","2021-11-12"
"1636681788000","1.084128","2021-11-12"
"1636681800000","1.084199","2021-11-12"
"1636681814000","1.08414","2021-11-12"
"1636681827000","1.08414","2021-11-12"
"1636681834000","1.084128","2021-11-12"
"1636681853000","1.084246","2021-11-12"
"1636681866000","1.084128","2021-11-12"
"1636681880000","1.084363","2021-11-12"
"1636681891000","1.084128","2021-11-12"
"1636681905000","1.084105","2021-11-12"
"1636681921000","1.083846","2021-11-12"
"1636681929000","1.083846","2021-11-12"
"1636681947000","1.08394","2021-11-12"
"1636681962000","1.083846","2021-11-12"
"1636681975000","1.084128","2021-11-12"
"1636681986000","1.083835","2021-11-12"
"1636682000000","1.084011","2021-11-12"
"1636682015000","1.084128","2021-11-12"
"1636682022000","1.083835","2021-11-12"
"1636682041000","1.084136","2021-11-12"
"1636682048000","1.083846","2021-11-12"
"1636682067000","1.083799","2021-11-12"
"1636682081000","1.083893","2021-11-12"
"1636682096000","1.084011","2021-11-12"
"1636682107000","1.083788","2021-11-12"
"1636682121000","1.083741","2021-11-12"
"1636682136000","1.083886","2021-11-12"
"1636682143000","1.083823","2021-11-12"
"1636682156000","1.083799","2021-11-12"
"1636682177000","1.083823","2021-11-12"
"1636682189000","1.083835","2021-11-12"
"1636682203000","1.083788","2021-11-12"
"1636682217000","1.084011","2021-11-12"
"1636682230000","1.083952","2021-11-12"
"1636682243000","1.084081","2021-11-12"
"1636682257000","1.08394","2021-11-12"
"1636682270000","1.08394","2021-11-12"
"1636682281000","1.084074","2021-11-12"
"1636682297000","1.084128","2021-11-12"
"1636682310000","1.083905","2021-11-12"
"1636682323000","1.083905","2021-11-12"
"1636682337000","1.084128","2021-11-12"
"1636682350000","1.083893","2021-11-12"
"1636682364000","1.084011","2021-11-12"
"1636682376000","1.083988","2021-11-12"
"1636682391000","1.083846","2021-11-12"
"1636682404000","1.084011","2021-11-12"
"1636682418000","1.083893","2021-11-12"
"1636682430000","1.083929","2021-11-12"
"1636682445000","1.083893","2021-11-12"
"1636682454000","1.08407","2021-11-12"
"1636682472000","1.084026","2021-11-12"
"1636682484000","1.084046","2021-11-12"
"1636682497000","1.083917","2021-11-12"
"1636682510000","1.083929","2021-11-12"
"1636682525000","1.083917","2021-11-12"
"1636682538000","1.083952","2021-11-12"
"1636682550000","1.083952","2021-11-12"
"1636682559000","1.083952","2021-11-12"
"1636682575000","1.084128","2021-11-12"
"1636682590000","1.084128","2021-11-12"
"1636682605000","1.084128","2021-11-12"
"1636682619000","1.083952","2021-11-12"
"1636682630000","1.08394","2021-11-12"
"1636682644000","1.084128","2021-11-12"
"1636682649000","1.084246","2021-11-12"
"1636682670000","1.084128","2021-11-12"
"1636682685000","1.084246","2021-11-12"
"1636682691000","1.084011","2021-11-12"
"1636682712000","1.084112","2021-11-12"
"1636682725000","1.083882","2021-11-12"
"1636682739000","1.08387","2021-11-12"
"1636682752000","1.083893","2021-11-12"
"1636682764000","1.083905","2021-11-12"
"1636682778000","1.084011","2021-11-12"
"1636682793000","1.083846","2021-11-12"
"1636682806000","1.083823","2021-11-12"
"1636682819000","1.084128","2021-11-12"
"1636682830000","1.083835","2021-11-12"
"1636682844000","1.083893","2021-11-12"
"1636682857000","1.083893","2021-11-12"
"1636682874000","1.08394","2021-11-12"
"1636682886000","1.083764","2021-11-12"
"1636682900000","1.083811","2021-11-12"
"1636682913000","1.083893","2021-11-12"
"1636682927000","1.084011","2021-11-12"
"1636682940000","1.083776","2021-11-12"
"1636682954000","1.083835","2021-11-12"
"1636682968000","1.084128","2021-11-12"
"1636682980000","1.08387","2021-11-12"
"1636682994000","1.083976","2021-11-12"
"1636683008000","1.083893","2021-11-12"
"1636683020000","1.083858","2021-11-12"
"1636683034000","1.083776","2021-11-12"
"1636683048000","1.08395","2021-11-12"
"1636683054000","1.083987","2021-11-12"
"1636683073000","1.084128","2021-11-12"
"1636683088000","1.084011","2021-11-12"
"1636683102000","1.083858","2021-11-12"
"1636683110000","1.08387","2021-11-12"
"1636683128000","1.084011","2021-11-12"
"1636683141000","1.083811","2021-11-12"
"1636683154000","1.083823","2021-11-12"
"1636683164000","1.084011","2021-11-12"
"1636683181000","1.083823","2021-11-12"
"1636683194000","1.084011","2021-11-12"
"1636683209000","1.084011","2021-11-12"
"1636683223000","1.083717","2021-11-12"
"1636683234000","1.083764","2021-11-12"
"1636683249000","1.083893","2021-11-12"
"1636683261000","1.083658","2021-11-12"
"1636683275000","1.083647","2021-11-12"
"1636683290000","1.083776","2021-11-12"
"1636683302000","1.083553","2021-11-12"
"1636683315000","1.0836","2021-11-12"
"1636683329000","1.083893","2021-11-12"
"1636683340000","1.083553","2021-11-12"
"1636683357000","1.083576","2021-11-12"
"1636683370000","1.083611","2021-11-12"
"1636683384000","1.083729","2021-11-12"
"1636683397000","1.083623","2021-11-12"
"1636683410000","1.083635","2021-11-12"
"1636683421000","1.083623","2021-11-12"
"1636683432000","1.083657","2021-11-12"
"1636683450000","1.083776","2021-11-12"
"1636683455000","1.083564","2021-11-12"
"1636683475000","1.083611","2021-11-12"
"1636683488000","1.083776","2021-11-12"
"1636683504000","1.083682","2021-11-12"
"1636683514000","1.083776","2021-11-12"
"1636683531000","1.083623","2021-11-12"
"1636683543000","1.083611","2021-11-12"
"1636683558000","1.083776","2021-11-12"
"1636683568000","1.083893","2021-11-12"
"1636683583000","1.083893","2021-11-12"
"1636683598000","1.083623","2021-11-12"
"1636683611000","1.0836","2021-11-12"
"1636683624000","1.083658","2021-11-12"
"1636683638000","1.083529","2021-11-12"
"1636683651000","1.083658","2021-11-12"
"1636683664000","1.083541","2021-11-12"
"1636683677000","1.083776","2021-11-12"
"1636683691000","1.083518","2021-11-12"
"1636683705000","1.083529","2021-11-12"
"1636683717000","1.083541","2021-11-12"
"1636683731000","1.083529","2021-11-12"
"1636683744000","1.083541","2021-11-12"
"1636683759000","1.083529","2021-11-12"
"1636683772000","1.083541","2021-11-12"
"1636683786000","1.083541","2021-11-12"
"1636683799000","1.083553","2021-11-12"
"1636683813000","1.083553","2021-11-12"
"1636683823000","1.083564","2021-11-12"
"1636683836000","1.083658","2021-11-12"
"1636683850000","1.083564","2021-11-12"
"1636683864000","1.083647","2021-11-12"
"1636683877000","1.083776","2021-11-12"
"1636683892000","1.083776","2021-11-12"
"1636683907000","1.083541","2021-11-12"
"1636683919000","1.083553","2021-11-12"
"1636683932000","1.083611","2021-11-12"
"1636683946000","1.083893","2021-11-12"
"1636683960000","1.083647","2021-11-12"
"1636683969000","1.083623","2021-11-12"
"1636683984000","1.083611","2021-11-12"
"1636684001000","1.083635","2021-11-12"
"1636684014000","1.083635","2021-11-12"
"1636684028000","1.083635","2021-11-12"
