"timstamp","fx_rate","timestamp for entry"
"1636681626000","1.05489","2021-11-12"
"1636681639000","1.05494","2021-11-12"
"1636681653000","1.0549","2021-11-12"
"1636681667000","1.05496","2021-11-12"
"1636681674000","1.05503","2021-11-12"
"1636681691000","1.05496","2021-11-12"
"1636681705000","1.0549","2021-11-12"
"1636681720000","1.05503","2021-11-12"
"1636681733000","1.05493","2021-11-12"
"1636681746000","1.05504","2021-11-12"
"1636681760000","1.05499","2021-11-12"
"1636681772000","1.0549","2021-11-12"
"1636681787000","1.05495","2021-11-12"
"1636681801000","1.05504","2021-11-12"
"1636681813000","1.05495","2021-11-12"
"1636681827000","1.055","2021-11-12"
"1636681840000","1.05502","2021-11-12"
"1636681853000","1.05496","2021-11-12"
"1636681868000","1.0549","2021-11-12"
"1636681880000","1.05494","2021-11-12"
"1636681894000","1.05494","2021-11-12"
"1636681908000","1.0551","2021-11-12"
"1636681920000","1.0552","2021-11-12"
"1636681933000","1.055","2021-11-12"
"1636681948000","1.0552","2021-11-12"
"1636681961000","1.05514","2021-11-12"
"1636681974000","1.05512","2021-11-12"
"1636681981000","1.05521","2021-11-12"
"1636681981000","1.05521","2021-11-12"
"1636682013000","1.0553","2021-11-12"
"1636682026000","1.05515","2021-11-12"
"1636682041000","1.0554","2021-11-12"
"1636682054000","1.0551","2021-11-12"
"1636682068000","1.05526","2021-11-12"
"1636682080000","1.05527","2021-11-12"
"1636682095000","1.05525","2021-11-12"
"1636682107000","1.05527","2021-11-12"
"1636682121000","1.05529","2021-11-12"
"1636682135000","1.0552","2021-11-12"
"1636682148000","1.05519","2021-11-12"
"1636682160000","1.05529","2021-11-12"
"1636682176000","1.05523","2021-11-12"
"1636682189000","1.05527","2021-11-12"
"1636682202000","1.05527","2021-11-12"
"1636682215000","1.05534","2021-11-12"
"1636682230000","1.055","2021-11-12"
"1636682240000","1.0553","2021-11-12"
"1636682253000","1.05534","2021-11-12"
"1636682268000","1.05531","2021-11-12"
"1636682280000","1.05531","2021-11-12"
"1636682296000","1.0554","2021-11-12"
"1636682310000","1.05534","2021-11-12"
"1636682324000","1.0554","2021-11-12"
"1636682334000","1.0553","2021-11-12"
"1636682350000","1.05535","2021-11-12"
"1636682363000","1.05534","2021-11-12"
"1636682374000","1.0554","2021-11-12"
"1636682391000","1.05532","2021-11-12"
"1636682404000","1.05535","2021-11-12"
"1636682412000","1.05536","2021-11-12"
"1636682430000","1.05532","2021-11-12"
"1636682444000","1.05534","2021-11-12"
"1636682453000","1.05534","2021-11-12"
"1636682471000","1.05534","2021-11-12"
"1636682484000","1.05522","2021-11-12"
"1636682497000","1.05532","2021-11-12"
"1636682510000","1.05531","2021-11-12"
"1636682523000","1.05531","2021-11-12"
"1636682538000","1.05521","2021-11-12"
"1636682550000","1.05531","2021-11-12"
"1636682560000","1.0554","2021-11-12"
"1636682578000","1.05534","2021-11-12"
"1636682584000","1.05534","2021-11-12"
"1636682604000","1.05525","2021-11-12"
"1636682618000","1.05528","2021-11-12"
"1636682631000","1.0552","2021-11-12"
"1636682641000","1.05536","2021-11-12"
"1636682658000","1.05535","2021-11-12"
"1636682671000","1.0552","2021-11-12"
"1636682680000","1.05537","2021-11-12"
"1636682696000","1.0553","2021-11-12"
"1636682711000","1.05536","2021-11-12"
"1636682725000","1.05539","2021-11-12"
"1636682739000","1.05538","2021-11-12"
"1636682752000","1.0553","2021-11-12"
"1636682764000","1.05525","2021-11-12"
"1636682778000","1.05524","2021-11-12"
"1636682792000","1.05529","2021-11-12"
"1636682806000","1.05532","2021-11-12"
"1636682817000","1.0553","2021-11-12"
"1636682830000","1.05539","2021-11-12"
"1636682844000","1.05528","2021-11-12"
"1636682860000","1.0552","2021-11-12"
"1636682872000","1.05531","2021-11-12"
"1636682886000","1.05536","2021-11-12"
"1636682900000","1.0551","2021-11-12"
"1636682912000","1.05533","2021-11-12"
"1636682925000","1.0552","2021-11-12"
"1636682934000","1.05541","2021-11-12"
"1636682954000","1.05529","2021-11-12"
"1636682966000","1.05537","2021-11-12"
"1636682974000","1.05537","2021-11-12"
"1636682992000","1.05529","2021-11-12"
"1636683007000","1.05538","2021-11-12"
"1636683020000","1.05538","2021-11-12"
"1636683033000","1.05539","2021-11-12"
"1636683043000","1.0554","2021-11-12"
"1636683054000","1.05529","2021-11-12"
"1636683072000","1.05534","2021-11-12"
"1636683087000","1.05544","2021-11-12"
"1636683100000","1.0554","2021-11-12"
"1636683110000","1.05541","2021-11-12"
"1636683123000","1.05539","2021-11-12"
"1636683141000","1.05538","2021-11-12"
"1636683155000","1.0553","2021-11-12"
"1636683165000","1.0555","2021-11-12"
"1636683181000","1.05534","2021-11-12"
"1636683190000","1.05543","2021-11-12"
"1636683206000","1.05545","2021-11-12"
"1636683222000","1.05547","2021-11-12"
"1636683235000","1.0555","2021-11-12"
"1636683249000","1.05543","2021-11-12"
"1636683262000","1.0556","2021-11-12"
"1636683273000","1.05542","2021-11-12"
"1636683289000","1.0555","2021-11-12"
"1636683302000","1.0557","2021-11-12"
"1636683316000","1.0554","2021-11-12"
"1636683329000","1.05552","2021-11-12"
"1636683340000","1.05559","2021-11-12"
"1636683356000","1.05554","2021-11-12"
"1636683370000","1.0555","2021-11-12"
"1636683383000","1.0552","2021-11-12"
"1636683396000","1.05545","2021-11-12"
"1636683410000","1.0552","2021-11-12"
"1636683421000","1.0555","2021-11-12"
"1636683434000","1.0556","2021-11-12"
"1636683449000","1.0556","2021-11-12"
"1636683460000","1.05557","2021-11-12"
"1636683475000","1.0555","2021-11-12"
"1636683490000","1.05557","2021-11-12"
"1636683503000","1.05557","2021-11-12"
"1636683510000","1.05557","2021-11-12"
"1636683531000","1.05554","2021-11-12"
"1636683543000","1.05546","2021-11-12"
"1636683552000","1.05545","2021-11-12"
"1636683566000","1.05554","2021-11-12"
"1636683583000","1.0554","2021-11-12"
"1636683596000","1.05552","2021-11-12"
"1636683611000","1.05548","2021-11-12"
"1636683624000","1.05542","2021-11-12"
"1636683637000","1.05542","2021-11-12"
"1636683650000","1.05549","2021-11-12"
"1636683665000","1.0555","2021-11-12"
"1636683676000","1.05544","2021-11-12"
"1636683691000","1.05551","2021-11-12"
"1636683705000","1.0555","2021-11-12"
"1636683715000","1.0553","2021-11-12"
"1636683731000","1.05543","2021-11-12"
"1636683745000","1.0553","2021-11-12"
"1636683758000","1.0552","2021-11-12"
"1636683770000","1.05551","2021-11-12"
"1636683781000","1.05544","2021-11-12"
"1636683799000","1.05552","2021-11-12"
"1636683811000","1.05547","2021-11-12"
"1636683826000","1.05553","2021-11-12"
"1636683830000","1.05547","2021-11-12"
"1636683850000","1.05553","2021-11-12"
"1636683866000","1.0555","2021-11-12"
"1636683878000","1.05548","2021-11-12"
"1636683890000","1.05547","2021-11-12"
"1636683906000","1.0555","2021-11-12"
"1636683919000","1.0555","2021-11-12"
"1636683932000","1.05545","2021-11-12"
"1636683943000","1.0552","2021-11-12"
"1636683959000","1.05555","2021-11-12"
"1636683971000","1.0554","2021-11-12"
"1636683985000","1.05548","2021-11-12"
"1636684000000","1.05548","2021-11-12"
"1636684013000","1.05548","2021-11-12"
"1636684027000","1.05548","2021-11-12"
