"timstamp","fx_rate","timestamp for entry"
"1636681625000","1.143759","2021-11-12"
"1636681639000","1.143798","2021-11-12"
"1636681647000","1.143811","2021-11-12"
"1636681665000","1.144034","2021-11-12"
"1636681675000","1.144034","2021-11-12"
"1636681690000","1.144165","2021-11-12"
"1636681705000","1.144034","2021-11-12"
"1636681719000","1.143851","2021-11-12"
"1636681729000","1.143864","2021-11-12"
"1636681746000","1.143824","2021-11-12"
"1636681760000","1.143746","2021-11-12"
"1636681772000","1.143772","2021-11-12"
"1636681787000","1.143798","2021-11-12"
"1636681800000","1.143798","2021-11-12"
"1636681813000","1.143811","2021-11-12"
"1636681824000","1.143811","2021-11-12"
"1636681836000","1.144165","2021-11-12"
"1636681847000","1.143838","2021-11-12"
"1636681860000","1.143838","2021-11-12"
"1636681880000","1.143798","2021-11-12"
"1636681884000","1.143811","2021-11-12"
"1636681906000","1.143903","2021-11-12"
"1636681920000","1.143694","2021-11-12"
"1636681929000","1.143694","2021-11-12"
"1636681947000","1.143811","2021-11-12"
"1636681961000","1.143707","2021-11-12"
"1636681965000","1.143707","2021-11-12"
"1636681980000","1.143707","2021-11-12"
"1636681997000","1.143903","2021-11-12"
"1636682012000","1.143903","2021-11-12"
"1636682026000","1.14372","2021-11-12"
"1636682030000","1.143707","2021-11-12"
"1636682053000","1.143903","2021-11-12"
"1636682067000","1.143772","2021-11-12"
"1636682073000","1.144034","2021-11-12"
"1636682093000","1.143772","2021-11-12"
"1636682101000","1.143759","2021-11-12"
"1636682120000","1.143772","2021-11-12"
"1636682135000","1.143772","2021-11-12"
"1636682148000","1.143759","2021-11-12"
"1636682153000","1.143759","2021-11-12"
"1636682175000","1.143772","2021-11-12"
"1636682189000","1.143746","2021-11-12"
"1636682202000","1.143707","2021-11-12"
"1636682215000","1.144034","2021-11-12"
"1636682226000","1.143916","2021-11-12"
"1636682235000","1.144165","2021-11-12"
"1636682252000","1.143955","2021-11-12"
"1636682267000","1.143929","2021-11-12"
