fx_rate_timestamp,USDAUD,USDCAD,USDEUR,USDCHF,USDSGD,USDGBP
2021/11/15 0:00:00,1.36375,1.25444,0.87384,0.92106,1.35209,0.74522
2021/11/15 0:06:00,1.3638843,1.25462,0.87386,0.92129,1.35205,0.74526
2021/11/15 0:12:00,1.36441,1.25502,0.87379,0.92109,1.35209,0.74527
2021/11/15 0:18:00,1.36441,1.25521,0.87368,0.92093,1.35214,0.74535
2021/11/15 0:24:00,1.36511,1.25546,0.87382,0.92103,1.35248,0.74548
2021/11/15 0:30:00,1.3644426,1.2554,0.87376,0.92093,1.35203,0.74542
2021/11/15 0:36:00,1.3643,1.255,0.8737,0.9206,1.3523,0.7452
2021/11/15 0:42:00,1.36413,1.25495,0.87359,0.9206,1.35212,0.7451
2021/11/15 0:48:00,1.3633265,1.255,0.87364,0.9206,1.35215,0.745
2021/11/15 0:54:00,1.3636054,1.2548,0.87365,0.92071,1.35194,0.745
2021/11/15 1:00:00,1.36465,1.25513,0.87374,0.92074,1.35215,0.7452
2021/11/15 1:06:00,1.3646288,1.25532,0.87384,0.92075,1.35222,0.7453
2021/11/15 1:12:00,1.3645543,1.25524,0.87387,0.92071,1.35196,0.74528
2021/11/15 1:18:00,1.3639029,1.25511,0.87369,0.92076,1.35185,0.7451
2021/11/15 1:24:00,1.3638657,1.25506,0.8735,0.92052,1.35181,0.74501
2021/11/15 1:30:00,1.36342,1.2549,0.87328,0.92008,1.35186,0.74489
2021/11/15 1:36:00,1.3631407,1.25501,0.87304,0.9195,1.35189,0.74498
2021/11/15 1:42:00,1.362992,1.25486,0.87295,0.91933,1.35172,0.74447
2021/11/15 1:48:00,1.3625463,1.25454,0.87271,0.91927,1.35147,0.74435
2021/11/15 1:54:00,1.3618,1.2543,0.87259,0.91902,1.35153,0.74417
2021/11/15 2:00:00,1.3616929,1.25403,0.87261,0.9189,1.35113,0.7443
2021/11/15 2:06:00,1.36223,1.25408,0.87277,0.91936,1.35125,0.74435
2021/11/15 2:12:00,1.3620638,1.25381,0.87275,0.91925,1.3507,0.74432
2021/11/15 2:18:00,1.36266,1.25396,0.8727,0.91924,1.3513,0.74442
2021/11/15 2:24:00,1.3620267,1.2537,0.8727,0.9188,1.3517,0.7444
2021/11/15 2:30:00,1.3626206,1.25381,0.87285,0.91909,1.35177,0.7444298
2021/11/15 2:36:00,1.3630478,1.25381,0.8728,0.919,1.35199,0.74457
2021/11/15 2:42:00,1.3625835,1.25373,0.87281,0.9189,1.3514,0.74462
2021/11/15 2:48:00,1.3627691,1.25365,0.8727,0.91901,1.35175,0.74462
2021/11/15 2:54:00,1.36243,1.25364,0.87258,0.91891,1.3515,0.74457
2021/11/15 3:00:00,1.3620267,1.2534,0.8724,0.91902,1.35145,0.7445
2021/11/15 3:06:00,1.3618412,1.2535,0.8724,0.9191,1.3515,0.744585
2021/11/15 3:12:00,1.362305,1.25369,0.87273,0.91916,1.3514,0.7447
2021/11/15 3:18:00,1.3622308,1.25363,0.87265,0.91909,1.351,0.7445
2021/11/15 3:24:00,1.3621751,1.2535,0.87264,0.9189,1.35155,0.7446
2021/11/15 3:30:00,1.3613,1.25352,0.8723,0.91903,1.35151,0.744524
2021/11/15 3:36:00,1.3618,1.2535,0.87259,0.91908,1.3513,0.7446
